	total_counts	canon_counts	canon_status	author	title
POR0043	2	2	high	Magalhães, Luís de 	O Brasileiro Soares: Edição para o ELTeC
POR0044	5	3	high	Carvalho, Maria Amália Vaz de 	Alice: Edição para o ELTeC
POR0045	2	0	low	Vasconcelos, Antonio Augusto Teixeira de 	A ermida de Castromino: Edição para o ELTeC
POR0046	1	0	low	Amorim, Francisco Gomes de 	Os selvagens: Edição para o ELTeC
POR0047	2	0	low	Leal, José da Silva Mendes 	Infaustas Aventuras de Mestre Marçal Estouro: Edição para o ELTeC
POR0048	0	0	low	Bulhão Pato, Raimundo António de 	A pálida estrela: Edição para o ELTeC
POR0049	1	0	low	Barata, António Francisco 	O último cartuxo da Scala Caeli de Évora: edição para o ELTeC: Edição para o ELTeC
POR0050	1	0	low	Almeida, Carlos Pinto de 	A conquista de Lisboa: Edição para o ELTeC
POR0051	5	4	high	Brandão, Raul 	Húmus: Edição para o ELTeC
POR0052	5	3	high	Brandão, Raul 	A Farsa: Edição para o ELTeC
POR0053	7	3	high	Botelho, Abel 	O Barão de Lavos: Edição para o ELTeC
POR0054	5	2	high	Botelho, Abel 	Amanhã: Edição para o ELTeC
POR0055	1	0	low	Pimentel, Alberto 	O Annel Mysterioso: Edição para o ELTeC
POR0056	1	0	low	Moderno, Alice 	O Dr. Luiz Sandoval: Edição para o ELTeC
POR0058	1	0	low	Pimentel, Alberto 	O Romance da Rainha Mercedes: Edição para o ELTeC
POR0059	0	0	low	Barata, António Francisco 	Um duelo nas sombras: Edição para o ELTeC
POR0060	0	0	low	Almeida, Fialho de 	O juramento da condessa Esther: Edição para o ELTeC
POR0061	2	1	low	Plácido, Ana 	Herança de lágrimas: Edição para o ELTeC
POR0062	0	0	low	Castro Osório, Ana de 	Diário de uma criança: Edição para o ELTeC
POR0063	8	2	high	Ramalho Ortigão, José Duarte 	O Mistério da Estrada de Sintra: Edição para o ELTeC
POR0064	1	0	low	Barata, António Francisco 	O Manuelinho de Évora: Edição para o ELTeC
POR0065	0	0	low	O'Neill, Maria 	A Marquesa de Vale Negro: Edição para o ELTeC
POR0066	0	0	low	Castro e Almeida, Virgínia de 	Inocente: Edição para o ELTeC
POR0067	3	1	low	Oliveira Martins, Joaquim Pedro de 	Febo Moniz: Edição para o ELTeC
POR0068	16	4	high	Campos, Claudia de 	Ele : edição para o ELTeC
POR0069	1	0	low	Sousa, Maria Peregrina de 	Henriqueta: Edição para o ELTeC
POR0070	0	0	low	Bettencourt, Matilde Isabel de Santana e Vasconcelos Moniz 	O soldado de Aljubarrota: Edição para o ELTeC
POR0071	2	0	low	Oliveira Mascarenhas, Joaquim Augusto de 	O trovador da Infanta: Edição para o ELTeC
POR0072	0	0	low	Lobo de Ávila, Artur 	Os Caramurús: Edição para o ELTeC
POR0073	0	0	low	Moreira, João Baptista de Mattos 	Tempestades do coração: Edição para o ELTeC
POR0074	3	3	high	Dias, Carlos Malheiro 	A Mulata: Edição para o ELTeC
POR0075	1	0	low	Pinto, Fortunato Correia 	O agitador: Edição para o ELTeC
POR0076	1	1	low	Benevides, Francisco da Fonseca 	No tempo dos francezes: Edição para o ELTeC
POR0077	1	0	low	Bastos, José Joaquim Rodrigues de  	O médico do deserto: Edição para o ELTeC
POR0078	0	0	low	Noronha, Eduardo de 	O agonizar de uma dinastia: Edição para o ELTeC
POR0079	5	3	high	Pinto, Júlio Lourenço 	Margarida: Edição para o ELTeC
